Departamento: ANTIOQUIA (Código: 5), Municipio: MEDELLÍN (Código: 5001), Centro Poblado: MEDELLÍN (Código: 5001000), Tipo: CABECERA MUNICIPAL (CM)
Departamento: ANTIOQUIA (Código: 5), Municipio: MEDELLÍN (Código: 5001), Centro Poblado: PALMITAS (Código: 5001001), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: ANTIOQUIA (Código: 5), Municipio: MEDELLÍN (Código: 5001), Centro Poblado: SANTA ELENA (Código: 5001004), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: ANTIOQUIA (Código: 5), Municipio: MEDELLÍN (Código: 5001), Centro Poblado: ALTAVISTA (Código: 5001009), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: ANTIOQUIA (Código: 5), Municipio: MEDELLÍN (Código: 5001), Centro Poblado: AGUAS FRÍAS (Código: 5001010), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: ANTIOQUIA (Código: 5), Municipio: MEDELLÍN (Código: 5001), Centro Poblado: LA LOMA (Código: 5001012), Tipo: CENTRO POBLADO (CP)
Departamento: ANTIOQUIA (Código: 5), Municipio: MEDELLÍN (Código: 5001), Centro Poblado: SAN JOSÉ DEL MANZANILLO (Código: 5001013), Tipo: CENTRO POBLADO (CP)
Departamento: ANTIOQUIA (Código: 5), Municipio: MEDELLÍN (Código: 5001), Centro Poblado: BARRO BLANCO (Código: 5001014), Tipo: CENTRO POBLADO (CP)
Departamento: ANTIOQUIA (Código: 5), Municipio: MEDELLÍN (Código: 5001), Centro Poblado: EL CERRO (Código: 5001015), Tipo: CENTRO POBLADO (CP)
Departamento: ANTIOQUIA (Código: 5), Municipio: MEDELLÍN (Código: 5001), Centro Poblado: EL PATIO (Código: 5001017), Tipo: CENTRO POBLADO (CP)
Departamento: ANTIOQUIA (Código: 5), Municipio: MEDELLÍN (Código: 5001), Centro Poblado: EL PLACER (Código: 5001018), Tipo: CENTRO POBLADO (CP)
Departamento: ANTIOQUIA (Código: 5), Municipio: MEDELLÍN (Código: 5001), Centro Poblado: EL PLAN (Código: 5001019), Tipo: CENTRO POBLADO (CP)
Departamento: ANTIOQUIA (Código: 5), Municipio: MEDELLÍN (Código: 5001), Centro Poblado: LA ALDEA (Código: 5001022), Tipo: CENTRO POBLADO (CP)
Departamento: ANTIOQUIA (Código: 5), Municipio: MEDELLÍN (Código: 5001), Centro Poblado: LA CUCHILLA (Código: 5001023), Tipo: CENTRO POBLADO (CP)
Departamento: ANTIOQUIA (Código: 5), Municipio: MEDELLÍN (Código: 5001), Centro Poblado: LA PALMA (Código: 5001025), Tipo: CENTRO POBLADO (CP)
Departamento: ANTIOQUIA (Código: 5), Municipio: MEDELLÍN (Código: 5001), Centro Poblado: LAS PLAYAS (Código: 5001027), Tipo: CENTRO POBLADO (CP)
Departamento: ANTIOQUIA (Código: 5), Municipio: MEDELLÍN (Código: 5001), Centro Poblado: PIEDRA GORDA (Código: 5001029), Tipo: CENTRO POBLADO (CP)
Departamento: ANTIOQUIA (Código: 5), Municipio: MEDELLÍN (Código: 5001), Centro Poblado: POTRERITO (Código: 5001031), Tipo: CENTRO POBLADO (CP)
Departamento: ANTIOQUIA (Código: 5), Municipio: MEDELLÍN (Código: 5001), Centro Poblado: TRAVESÍAS (Código: 5001032), Tipo: CENTRO POBLADO (CP)
Departamento: ANTIOQUIA (Código: 5), Municipio: MEDELLÍN (Código: 5001), Centro Poblado: URQUITA (Código: 5001033), Tipo: CENTRO POBLADO (CP)
