Departamento: ANTIOQUIA, Municipio: MEDELLÍN, Centro Poblado: MEDELLÍN, Tipo Centro Poblado: CABECERA MUNICIPAL (CM), Código Departamento: 5, Código Municipio: 5001, Código Centro Poblado: 5001000, Latitud: 6,24858636743, Longitud: -75,5760017134, Distrito: nan, Tipo Municipio: MUNICIPIO
Departamento: ANTIOQUIA, Municipio: MEDELLÍN, Centro Poblado: PALMITAS, Tipo Centro Poblado: CABECERA CORREGIMIENTO MUNICIPAL (C), Código Departamento: 5, Código Municipio: 5001, Código Centro Poblado: 5001001, Latitud: 6,3439224059, Longitud: -75,6899859872, Distrito: nan, Tipo Municipio: MUNICIPIO
Departamento: ANTIOQUIA, Municipio: MEDELLÍN, Centro Poblado: SANTA ELENA, Tipo Centro Poblado: CABECERA CORREGIMIENTO MUNICIPAL (C), Código Departamento: 5, Código Municipio: 5001, Código Centro Poblado: 5001004, Latitud: 6,20967456778, Longitud: -75,5003166982, Distrito: nan, Tipo Municipio: MUNICIPIO
Departamento: ANTIOQUIA, Municipio: MEDELLÍN, Centro Poblado: ALTAVISTA, Tipo Centro Poblado: CABECERA CORREGIMIENTO MUNICIPAL (C), Código Departamento: 5, Código Municipio: 5001, Código Centro Poblado: 5001009, Latitud: 6,22248273057, Longitud: -75,6299441751, Distrito: nan, Tipo Municipio: MUNICIPIO
Departamento: ANTIOQUIA, Municipio: MEDELLÍN, Centro Poblado: AGUAS FRÍAS, Tipo Centro Poblado: CABECERA CORREGIMIENTO MUNICIPAL (C), Código Departamento: 5, Código Municipio: 5001, Código Centro Poblado: 5001010, Latitud: 6,2333355874, Longitud: -75,6339460169, Distrito: nan, Tipo Municipio: MUNICIPIO
Departamento: ANTIOQUIA, Municipio: MEDELLÍN, Centro Poblado: LA LOMA, Tipo Centro Poblado: CENTRO POBLADO (CP), Código Departamento: 5, Código Municipio: 5001, Código Centro Poblado: 5001012, Latitud: 6,26890878235, Longitud: -75,6297540724, Distrito: nan, Tipo Municipio: MUNICIPIO
Departamento: ANTIOQUIA, Municipio: MEDELLÍN, Centro Poblado: SAN JOSÉ DEL MANZANILLO, Tipo Centro Poblado: CENTRO POBLADO (CP), Código Departamento: 5, Código Municipio: 5001, Código Centro Poblado: 5001013, Latitud: 6,20581068001, Longitud: -75,61342487, Distrito: nan, Tipo Municipio: MUNICIPIO
Departamento: ANTIOQUIA, Municipio: MEDELLÍN, Centro Poblado: BARRO BLANCO, Tipo Centro Poblado: CENTRO POBLADO (CP), Código Departamento: 5, Código Municipio: 5001, Código Centro Poblado: 5001014, Latitud: 6,23479805798, Longitud: -75,4775622151, Distrito: nan, Tipo Municipio: MUNICIPIO
Departamento: ANTIOQUIA, Municipio: MEDELLÍN, Centro Poblado: EL CERRO, Tipo Centro Poblado: CENTRO POBLADO (CP), Código Departamento: 5, Código Municipio: 5001, Código Centro Poblado: 5001015, Latitud: 6,20035636487, Longitud: -75,489476496, Distrito: nan, Tipo Municipio: MUNICIPIO
Departamento: ANTIOQUIA, Municipio: MEDELLÍN, Centro Poblado: EL PATIO, Tipo Centro Poblado: CENTRO POBLADO (CP), Código Departamento: 5, Código Municipio: 5001, Código Centro Poblado: 5001017, Latitud: 6,27784108634, Longitud: -75,6511004924, Distrito: nan, Tipo Municipio: MUNICIPIO
Departamento: ANTIOQUIA, Municipio: MEDELLÍN, Centro Poblado: EL PLACER, Tipo Centro Poblado: CENTRO POBLADO (CP), Código Departamento: 5, Código Municipio: 5001, Código Centro Poblado: 5001018, Latitud: 6,22476631163, Longitud: -75,4930142589, Distrito: nan, Tipo Municipio: MUNICIPIO
Departamento: ANTIOQUIA, Municipio: MEDELLÍN, Centro Poblado: EL PLAN, Tipo Centro Poblado: CENTRO POBLADO (CP), Código Departamento: 5, Código Municipio: 5001, Código Centro Poblado: 5001019, Latitud: 6,20435971513, Longitud: -75,5183705, Distrito: nan, Tipo Municipio: MUNICIPIO
Departamento: ANTIOQUIA, Municipio: MEDELLÍN, Centro Poblado: LA ALDEA, Tipo Centro Poblado: CENTRO POBLADO (CP), Código Departamento: 5, Código Municipio: 5001, Código Centro Poblado: 5001022, Latitud: 6,34243040051, Longitud: -75,7035503836, Distrito: nan, Tipo Municipio: MUNICIPIO
Departamento: ANTIOQUIA, Municipio: MEDELLÍN, Centro Poblado: LA CUCHILLA, Tipo Centro Poblado: CENTRO POBLADO (CP), Código Departamento: 5, Código Municipio: 5001, Código Centro Poblado: 5001023, Latitud: 6,29350870315, Longitud: -75,6535467831, Distrito: nan, Tipo Municipio: MUNICIPIO
Departamento: ANTIOQUIA, Municipio: MEDELLÍN, Centro Poblado: LA PALMA, Tipo Centro Poblado: CENTRO POBLADO (CP), Código Departamento: 5, Código Municipio: 5001, Código Centro Poblado: 5001025, Latitud: 6,27383086596, Longitud: -75,6481527137, Distrito: nan, Tipo Municipio: MUNICIPIO
Departamento: ANTIOQUIA, Municipio: MEDELLÍN, Centro Poblado: LAS PLAYAS, Tipo Centro Poblado: CENTRO POBLADO (CP), Código Departamento: 5, Código Municipio: 5001, Código Centro Poblado: 5001027, Latitud: 6,28394357047, Longitud: -75,6489995687, Distrito: nan, Tipo Municipio: MUNICIPIO
Departamento: ANTIOQUIA, Municipio: MEDELLÍN, Centro Poblado: PIEDRA GORDA, Tipo Centro Poblado: CENTRO POBLADO (CP), Código Departamento: 5, Código Municipio: 5001, Código Centro Poblado: 5001029, Latitud: 6,23489261348, Longitud: -75,498182909, Distrito: nan, Tipo Municipio: MUNICIPIO
Departamento: ANTIOQUIA, Municipio: MEDELLÍN, Centro Poblado: POTRERITO, Tipo Centro Poblado: CENTRO POBLADO (CP), Código Departamento: 5, Código Municipio: 5001, Código Centro Poblado: 5001031, Latitud: 6,18307451818, Longitud: -75,667907579, Distrito: nan, Tipo Municipio: MUNICIPIO
Departamento: ANTIOQUIA, Municipio: MEDELLÍN, Centro Poblado: TRAVESÍAS, Tipo Centro Poblado: CENTRO POBLADO (CP), Código Departamento: 5, Código Municipio: 5001, Código Centro Poblado: 5001032, Latitud: 6,28703191801, Longitud: -75,6431084203, Distrito: nan, Tipo Municipio: MUNICIPIO
Departamento: ANTIOQUIA, Municipio: MEDELLÍN, Centro Poblado: URQUITA, Tipo Centro Poblado: CENTRO POBLADO (CP), Código Departamento: 5, Código Municipio: 5001, Código Centro Poblado: 5001033, Latitud: 0,, Longitud: 0,, Distrito: nan, Tipo Municipio: MUNICIPIO
Departamento: ANTIOQUIA, Municipio: MEDELLÍN, Centro Poblado: BOQUERÓN, Tipo Centro Poblado: CENTRO POBLADO (CP), Código Departamento: 5, Código Municipio: 5001, Código Centro Poblado: 5001035, Latitud: 6,31466453166, Longitud: -75,6573758995, Distrito: nan, Tipo Municipio: MUNICIPIO
Departamento: ANTIOQUIA, Municipio: MEDELLÍN, Centro Poblado: EL LLANO 1, Tipo Centro Poblado: CENTRO POBLADO (CP), Código Departamento: 5, Código Municipio: 5001, Código Centro Poblado: 5001039, Latitud: 6,29451550368, Longitud: -75,6494934186, Distrito: nan, Tipo Municipio: MUNICIPIO
Departamento: ANTIOQUIA, Municipio: MEDELLÍN, Centro Poblado: EL LLANO, Tipo Centro Poblado: CENTRO POBLADO (CP), Código Departamento: 5, Código Municipio: 5001, Código Centro Poblado: 5001040, Latitud: 6,19831282539, Longitud: -75,5033167357, Distrito: nan, Tipo Municipio: MUNICIPIO
Departamento: ANTIOQUIA, Municipio: MEDELLÍN, Centro Poblado: LA VERDE, Tipo Centro Poblado: CENTRO POBLADO (CP), Código Departamento: 5, Código Municipio: 5001, Código Centro Poblado: 5001048, Latitud: 6,19043349672, Longitud: -75,6394956297, Distrito: nan, Tipo Municipio: MUNICIPIO
Departamento: ANTIOQUIA, Municipio: MEDELLÍN, Centro Poblado: MATASANO, Tipo Centro Poblado: CENTRO POBLADO (CP), Código Departamento: 5, Código Municipio: 5001, Código Centro Poblado: 5001052, Latitud: 6,25765451031, Longitud: -75,492529472, Distrito: nan, Tipo Municipio: MUNICIPIO
Departamento: ANTIOQUIA, Municipio: MEDELLÍN, Centro Poblado: MATASANO 2, Tipo Centro Poblado: CENTRO POBLADO (CP), Código Departamento: 5, Código Municipio: 5001, Código Centro Poblado: 5001054, Latitud: 6,26734684369, Longitud: -75,5054392905, Distrito: nan, Tipo Municipio: MUNICIPIO
Departamento: ANTIOQUIA, Municipio: MEDELLÍN, Centro Poblado: MAZO, Tipo Centro Poblado: CENTRO POBLADO (CP), Código Departamento: 5, Código Municipio: 5001, Código Centro Poblado: 5001055, Latitud: 6,248320747, Longitud: -75,49872337, Distrito: nan, Tipo Municipio: MUNICIPIO
Departamento: ANTIOQUIA, Municipio: MEDELLÍN, Centro Poblado: MAZO 1, Tipo Centro Poblado: CENTRO POBLADO (CP), Código Departamento: 5, Código Municipio: 5001, Código Centro Poblado: 5001056, Latitud: 0,, Longitud: 0,, Distrito: nan, Tipo Municipio: MUNICIPIO
Departamento: ANTIOQUIA, Municipio: MEDELLÍN, Centro Poblado: MEDIA LUNA, Tipo Centro Poblado: CENTRO POBLADO (CP), Código Departamento: 5, Código Municipio: 5001, Código Centro Poblado: 5001057, Latitud: 6,24024827186, Longitud: -75,5159979268, Distrito: nan, Tipo Municipio: MUNICIPIO
Departamento: ANTIOQUIA, Municipio: MEDELLÍN, Centro Poblado: LAS CAMELIAS, Tipo Centro Poblado: CENTRO POBLADO (CP), Código Departamento: 5, Código Municipio: 5001, Código Centro Poblado: 5001066, Latitud: 6,19672626844, Longitud: -75,6433753534, Distrito: nan, Tipo Municipio: MUNICIPIO
Departamento: ANTIOQUIA, Municipio: ABEJORRAL, Centro Poblado: ABEJORRAL, Tipo Centro Poblado: CABECERA MUNICIPAL (CM), Código Departamento: 5, Código Municipio: 5002, Código Centro Poblado: 5002000, Latitud: 5,78930111433, Longitud: -75,4287403904, Distrito: nan, Tipo Municipio: MUNICIPIO
Departamento: ANTIOQUIA, Municipio: ABEJORRAL, Centro Poblado: PANTANILLO, Tipo Centro Poblado: CABECERA CORREGIMIENTO MUNICIPAL (C), Código Departamento: 5, Código Municipio: 5002, Código Centro Poblado: 5002002, Latitud: 5,730917629, Longitud: -75,492961864, Distrito: nan, Tipo Municipio: MUNICIPIO
Departamento: ANTIOQUIA, Municipio: ABEJORRAL, Centro Poblado: NARANJAL - LAS FONDAS, Tipo Centro Poblado: CASERÍO (CAS), Código Departamento: 5, Código Municipio: 5002, Código Centro Poblado: 5002004, Latitud: 5,763411113, Longitud: -75,514169806, Distrito: nan, Tipo Municipio: MUNICIPIO
Departamento: ANTIOQUIA, Municipio: ABEJORRAL, Centro Poblado: LAS CANOAS, Tipo Centro Poblado: CENTRO POBLADO (CP), Código Departamento: 5, Código Municipio: 5002, Código Centro Poblado: 5002016, Latitud: 5,78202887815, Longitud: -75,428660109, Distrito: nan, Tipo Municipio: MUNICIPIO
Departamento: ANTIOQUIA, Municipio: ABRIAQUÍ, Centro Poblado: ABRIAQUÍ, Tipo Centro Poblado: CABECERA MUNICIPAL (CM), Código Departamento: 5, Código Municipio: 5004, Código Centro Poblado: 5004000, Latitud: 6,63228195504, Longitud: -76,0642948678, Distrito: nan, Tipo Municipio: MUNICIPIO
Departamento: ANTIOQUIA, Municipio: ABRIAQUÍ, Centro Poblado: POTREROS SECTOR 1, Tipo Centro Poblado: CASERÍO (CAS), Código Departamento: 5, Código Municipio: 5004, Código Centro Poblado: 5004003, Latitud: 6,67479034665, Longitud: -76,0894075977, Distrito: nan, Tipo Municipio: MUNICIPIO
Departamento: ANTIOQUIA, Municipio: ALEJANDRÍA, Centro Poblado: ALEJANDRÍA, Tipo Centro Poblado: CABECERA MUNICIPAL (CM), Código Departamento: 5, Código Municipio: 5021, Código Centro Poblado: 5021000, Latitud: 6,37606264274, Longitud: -75,141334501, Distrito: nan, Tipo Municipio: MUNICIPIO
Departamento: ANTIOQUIA, Municipio: AMAGÁ, Centro Poblado: AMAGÁ, Tipo Centro Poblado: CABECERA MUNICIPAL (CM), Código Departamento: 5, Código Municipio: 5030, Código Centro Poblado: 5030000, Latitud: 6,03880842381, Longitud: -75,7019483389, Distrito: nan, Tipo Municipio: MUNICIPIO
Departamento: ANTIOQUIA, Municipio: AMAGÁ, Centro Poblado: CAMILO C, Tipo Centro Poblado: CENTRO POBLADO (CP), Código Departamento: 5, Código Municipio: 5030, Código Centro Poblado: 5030001, Latitud: 6,02572906075, Longitud: -75,6985600127, Distrito: nan, Tipo Municipio: MUNICIPIO
Departamento: ANTIOQUIA, Municipio: AMAGÁ, Centro Poblado: LA CLARITA, Tipo Centro Poblado: CENTRO POBLADO (CP), Código Departamento: 5, Código Municipio: 5030, Código Centro Poblado: 5030003, Latitud: 6,06889371752, Longitud: -75,699650531, Distrito: nan, Tipo Municipio: MUNICIPIO
Departamento: ANTIOQUIA, Municipio: AMAGÁ, Centro Poblado: LA FERREIRA, Tipo Centro Poblado: CASERÍO (CAS), Código Departamento: 5, Código Municipio: 5030, Código Centro Poblado: 5030004, Latitud: 6,06338935262, Longitud: -75,7092757411, Distrito: nan, Tipo Municipio: MUNICIPIO
Departamento: ANTIOQUIA, Municipio: AMAGÁ, Centro Poblado: LA GUALÍ, Tipo Centro Poblado: CASERÍO (CAS), Código Departamento: 5, Código Municipio: 5030, Código Centro Poblado: 5030005, Latitud: 6,05736790207, Longitud: -75,706869786, Distrito: nan, Tipo Municipio: MUNICIPIO
Departamento: ANTIOQUIA, Municipio: AMAGÁ, Centro Poblado: PIEDECUESTA, Tipo Centro Poblado: CASERÍO (CAS), Código Departamento: 5, Código Municipio: 5030, Código Centro Poblado: 5030006, Latitud: 6,04976095926, Longitud: -75,6929859987, Distrito: nan, Tipo Municipio: MUNICIPIO
Departamento: ANTIOQUIA, Municipio: AMAGÁ, Centro Poblado: MINAS, Tipo Centro Poblado: CENTRO POBLADO (CP), Código Departamento: 5, Código Municipio: 5030, Código Centro Poblado: 5030011, Latitud: 6,07757173503, Longitud: -75,7011486114, Distrito: nan, Tipo Municipio: MUNICIPIO
Departamento: ANTIOQUIA, Municipio: AMAGÁ, Centro Poblado: CAMILO C - ALTO DE LA VIRGEN, Tipo Centro Poblado: CABECERA CORREGIMIENTO MUNICIPAL (C), Código Departamento: 5, Código Municipio: 5030, Código Centro Poblado: 5030012, Latitud: 6,02729183748, Longitud: -75,7031062243, Distrito: nan, Tipo Municipio: MUNICIPIO
Departamento: ANTIOQUIA, Municipio: AMAGÁ, Centro Poblado: PIEDECUESTA - MANI DE LAS CASAS, Tipo Centro Poblado: CASERÍO (CAS), Código Departamento: 5, Código Municipio: 5030, Código Centro Poblado: 5030013, Latitud: 6,05546056117, Longitud: -75,6938423142, Distrito: nan, Tipo Municipio: MUNICIPIO
Departamento: ANTIOQUIA, Municipio: AMALFI, Centro Poblado: AMALFI, Tipo Centro Poblado: CABECERA MUNICIPAL (CM), Código Departamento: 5, Código Municipio: 5031, Código Centro Poblado: 5031000, Latitud: 6,90967360478, Longitud: -75,0774749239, Distrito: nan, Tipo Municipio: MUNICIPIO
